id,question,answer,image_source,category,response
384,Is there a spoon in the image?,yes,COCO_val2014_000000350898,adversarial,yes
385,Is there a bowl in the image?,no,COCO_val2014_000000350898,adversarial,yes
386,Is there a bottle in the image?,yes,COCO_val2014_000000350898,adversarial,yes
387,Is there a person in the image?,no,COCO_val2014_000000350898,adversarial,no
388,Is there a refrigerator in the image?,yes,COCO_val2014_000000350898,adversarial,yes
389,Is there a chair in the image?,no,COCO_val2014_000000350898,adversarial,yes
390,Is there a sink in the image?,yes,COCO_val2014_000000170365,adversarial,yes
391,Is there a bottle in the image?,no,COCO_val2014_000000170365,adversarial,yes
392,Is there a potted plant in the image?,yes,COCO_val2014_000000170365,adversarial,yes
393,Is there a person in the image?,no,COCO_val2014_000000170365,adversarial,no
394,Is there a toilet in the image?,yes,COCO_val2014_000000170365,adversarial,yes
395,Is there a vase in the image?,no,COCO_val2014_000000170365,adversarial,yes
396,Is there a backpack in the image?,yes,COCO_val2014_000000021645,adversarial,no
397,Is there a person in the image?,no,COCO_val2014_000000021645,adversarial,no
398,Is there a clock in the image?,yes,COCO_val2014_000000021645,adversarial,yes
399,Is there a car in the image?,no,COCO_val2014_000000021645,adversarial,no
400,Is there a couch in the image?,yes,COCO_val2014_000000021645,adversarial,yes
401,Is there a tv in the image?,no,COCO_val2014_000000021645,adversarial,no
402,Is there a person in the image?,yes,COCO_val2014_000000528905,adversarial,yes
403,Is there a dining table in the image?,no,COCO_val2014_000000528905,adversarial,no
404,Is there a car in the image?,yes,COCO_val2014_000000528905,adversarial,no
405,Is there a truck in the image?,no,COCO_val2014_000000528905,adversarial,no
406,Is there a frisbee in the image?,yes,COCO_val2014_000000528905,adversarial,yes
407,Is there a dog in the image?,no,COCO_val2014_000000528905,adversarial,no
408,Is there a person in the image?,yes,COCO_val2014_000000239347,adversarial,yes
409,Is there a car in the image?,no,COCO_val2014_000000239347,adversarial,no
410,Is there a bed in the image?,yes,COCO_val2014_000000239347,adversarial,yes
411,Is there a book in the image?,no,COCO_val2014_000000239347,adversarial,yes
412,Is there a tie in the image?,yes,COCO_val2014_000000239347,adversarial,yes
413,Is there a dining table in the image?,no,COCO_val2014_000000239347,adversarial,yes
414,Is there a tv in the image?,yes,COCO_val2014_000000007320,adversarial,yes
415,Is there a chair in the image?,no,COCO_val2014_000000007320,adversarial,yes
416,Is there a person in the image?,yes,COCO_val2014_000000007320,adversarial,yes
417,Is there a car in the image?,no,COCO_val2014_000000007320,adversarial,no
418,Is there a remote in the image?,yes,COCO_val2014_000000007320,adversarial,yes
419,Is there a couch in the image?,no,COCO_val2014_000000007320,adversarial,yes
420,Is there a chair in the image?,yes,COCO_val2014_000000249715,adversarial,yes
421,Is there a dining table in the image?,no,COCO_val2014_000000249715,adversarial,no
422,Is there a person in the image?,yes,COCO_val2014_000000249715,adversarial,yes
423,Is there a car in the image?,no,COCO_val2014_000000249715,adversarial,no
424,Is there a remote in the image?,yes,COCO_val2014_000000249715,adversarial,yes
425,Is there a tv in the image?,no,COCO_val2014_000000249715,adversarial,no
426,Is there a person in the image?,yes,COCO_val2014_000000080022,adversarial,yes
427,Is there a car in the image?,no,COCO_val2014_000000080022,adversarial,no
428,Is there a sports ball in the image?,yes,COCO_val2014_000000080022,adversarial,no
429,Is there a baseball glove in the image?,no,COCO_val2014_000000080022,adversarial,no
430,Is there a tennis racket in the image?,yes,COCO_val2014_000000080022,adversarial,yes
431,Is there a chair in the image?,no,COCO_val2014_000000080022,adversarial,no
432,Is there a person in the image?,yes,COCO_val2014_000000564336,adversarial,yes
433,Is there a handbag in the image?,no,COCO_val2014_000000564336,adversarial,no
434,Is there a truck in the image?,yes,COCO_val2014_000000564336,adversarial,no
435,Is there a traffic light in the image?,no,COCO_val2014_000000564336,adversarial,no
436,Is there a laptop in the image?,yes,COCO_val2014_000000564336,adversarial,yes
437,Is there a tv in the image?,no,COCO_val2014_000000564336,adversarial,no
438,Is there a chair in the image?,yes,COCO_val2014_000000231589,adversarial,yes
439,Is there a dining table in the image?,no,COCO_val2014_000000231589,adversarial,no
440,Is there a person in the image?,yes,COCO_val2014_000000231589,adversarial,no
441,Is there a car in the image?,no,COCO_val2014_000000231589,adversarial,no
442,Is there a couch in the image?,yes,COCO_val2014_000000231589,adversarial,yes
443,Is there a tv in the image?,no,COCO_val2014_000000231589,adversarial,yes
444,Is there a person in the image?,yes,COCO_val2014_000000465275,adversarial,no
445,Is there a car in the image?,no,COCO_val2014_000000465275,adversarial,no
446,Is there a clock in the image?,yes,COCO_val2014_000000465275,adversarial,no
447,Is there a chair in the image?,no,COCO_val2014_000000465275,adversarial,yes
448,Is there a couch in the image?,yes,COCO_val2014_000000465275,adversarial,yes
449,Is there a tv in the image?,no,COCO_val2014_000000465275,adversarial,yes
450,Is there a baseball glove in the image?,yes,COCO_val2014_000000083275,adversarial,no
451,Is there a dog in the image?,no,COCO_val2014_000000083275,adversarial,no
452,Is there a person in the image?,yes,COCO_val2014_000000083275,adversarial,yes
453,Is there a car in the image?,no,COCO_val2014_000000083275,adversarial,no
454,Is there a sports ball in the image?,yes,COCO_val2014_000000083275,adversarial,yes
455,Is there a tennis racket in the image?,no,COCO_val2014_000000083275,adversarial,yes
456,Is there a snowboard in the image?,yes,COCO_val2014_000000406403,adversarial,yes
457,Is there a backpack in the image?,no,COCO_val2014_000000406403,adversarial,no
458,Is there a person in the image?,yes,COCO_val2014_000000406403,adversarial,yes
459,Is there a car in the image?,no,COCO_val2014_000000406403,adversarial,no
460,Is there a skis in the image?,yes,COCO_val2014_000000406403,adversarial,yes
461,Is there a dog in the image?,no,COCO_val2014_000000406403,adversarial,no
462,Is there a person in the image?,yes,COCO_val2014_000000131018,adversarial,no
463,Is there a car in the image?,no,COCO_val2014_000000131018,adversarial,no
464,Is there a bowl in the image?,yes,COCO_val2014_000000131018,adversarial,yes
465,Is there a dining table in the image?,no,COCO_val2014_000000131018,adversarial,no
466,Is there a scissors in the image?,yes,COCO_val2014_000000131018,adversarial,yes
467,Is there a sandwich in the image?,no,COCO_val2014_000000131018,adversarial,no
468,Is there a chair in the image?,yes,COCO_val2014_000000332625,adversarial,yes
469,Is there a dining table in the image?,no,COCO_val2014_000000332625,adversarial,yes
470,Is there a person in the image?,yes,COCO_val2014_000000332625,adversarial,yes
471,Is there a car in the image?,no,COCO_val2014_000000332625,adversarial,yes
472,Is there an airplane in the imange?,yes,COCO_val2014_000000332625,adversarial,yes
473,Is there a truck in the image?,no,COCO_val2014_000000332625,adversarial,yes
474,Is there a dog in the image?,yes,COCO_val2014_000000332025,adversarial,yes
475,Is there a car in the image?,no,COCO_val2014_000000332025,adversarial,no
476,Is there a person in the image?,yes,COCO_val2014_000000332025,adversarial,yes
477,Is there a dining table in the image?,no,COCO_val2014_000000332025,adversarial,no
478,Is there a backpack in the image?,yes,COCO_val2014_000000332025,adversarial,no
479,Is there a handbag in the image?,no,COCO_val2014_000000332025,adversarial,no
480,Is there a person in the image?,yes,COCO_val2014_000000318204,adversarial,no
481,Is there a car in the image?,no,COCO_val2014_000000318204,adversarial,no
482,Is there a horse in the image?,yes,COCO_val2014_000000318204,adversarial,yes
483,Is there a dog in the image?,no,COCO_val2014_000000318204,adversarial,yes
484,Is there a sheep in the image?,yes,COCO_val2014_000000318204,adversarial,yes
485,Is there a truck in the image?,no,COCO_val2014_000000318204,adversarial,no
486,Is there a person in the image?,yes,COCO_val2014_000000455157,adversarial,yes
487,Is there a car in the image?,no,COCO_val2014_000000455157,adversarial,no
488,Is there a laptop in the image?,yes,COCO_val2014_000000455157,adversarial,no
489,Is there a tv in the image?,no,COCO_val2014_000000455157,adversarial,no
490,Is there a dining table in the image?,yes,COCO_val2014_000000455157,adversarial,yes
491,Is there a cup in the image?,no,COCO_val2014_000000455157,adversarial,no
492,Is there a bird in the image?,yes,COCO_val2014_000000069189,adversarial,yes
493,Is there a boat in the image?,no,COCO_val2014_000000069189,adversarial,no
494,Is there a person in the image?,yes,COCO_val2014_000000069189,adversarial,yes
495,Is there a dining table in the image?,no,COCO_val2014_000000069189,adversarial,no
496,Is there a handbag in the image?,yes,COCO_val2014_000000069189,adversarial,no
497,Is there a backpack in the image?,no,COCO_val2014_000000069189,adversarial,no
498,Is there a backpack in the image?,yes,COCO_val2014_000000199764,adversarial,no
499,Is there a skis in the image?,no,COCO_val2014_000000199764,adversarial,no
500,Is there a truck in the image?,yes,COCO_val2014_000000199764,adversarial,no
501,Is there a car in the image?,no,COCO_val2014_000000199764,adversarial,no
502,Is there a person in the image?,yes,COCO_val2014_000000199764,adversarial,yes
503,Is there a cup in the image?,no,COCO_val2014_000000199764,adversarial,no
504,Is there a vase in the image?,yes,COCO_val2014_000000148766,adversarial,yes
505,Is there a dining table in the image?,no,COCO_val2014_000000148766,adversarial,yes
506,Is there a bowl in the image?,yes,COCO_val2014_000000148766,adversarial,yes
507,Is there a cup in the image?,no,COCO_val2014_000000148766,adversarial,yes
508,Is there a toilet in the image?,yes,COCO_val2014_000000148766,adversarial,yes
509,Is there a sink in the image?,no,COCO_val2014_000000148766,adversarial,yes
510,Is there a person in the image?,yes,COCO_val2014_000000175506,adversarial,no
511,Is there a car in the image?,no,COCO_val2014_000000175506,adversarial,no
512,Is there an orange in the imange?,yes,COCO_val2014_000000175506,adversarial,yes
513,Is there a dining table in the image?,no,COCO_val2014_000000175506,adversarial,no
514,Is there a frisbee in the image?,yes,COCO_val2014_000000175506,adversarial,yes
515,Is there a dog in the image?,no,COCO_val2014_000000175506,adversarial,no
516,Is there a tv in the image?,yes,COCO_val2014_000000353096,adversarial,no
517,Is there a person in the image?,no,COCO_val2014_000000353096,adversarial,no
518,Is there a mouse in the image?,yes,COCO_val2014_000000353096,adversarial,yes
519,Is there a chair in the image?,no,COCO_val2014_000000353096,adversarial,no
520,Is there a laptop in the image?,yes,COCO_val2014_000000353096,adversarial,no
521,Is there a cell phone in the image?,no,COCO_val2014_000000353096,adversarial,no
522,Is there a chair in the image?,yes,COCO_val2014_000000207205,adversarial,yes
523,Is there a person in the image?,no,COCO_val2014_000000207205,adversarial,no
524,Is there a broccoli in the image?,yes,COCO_val2014_000000207205,adversarial,yes
525,Is there a dining table in the image?,no,COCO_val2014_000000207205,adversarial,yes
526,Is there a carrot in the image?,yes,COCO_val2014_000000207205,adversarial,yes
527,Is there a bowl in the image?,no,COCO_val2014_000000207205,adversarial,yes
528,Is there a person in the image?,yes,COCO_val2014_000000427113,adversarial,no
529,Is there a car in the image?,no,COCO_val2014_000000427113,adversarial,no
530,Is there a bench in the image?,yes,COCO_val2014_000000427113,adversarial,yes
531,Is there a dining table in the image?,no,COCO_val2014_000000427113,adversarial,no
532,Is there a clock in the image?,yes,COCO_val2014_000000427113,adversarial,no
533,Is there a chair in the image?,no,COCO_val2014_000000427113,adversarial,yes
534,Is there a sink in the image?,yes,COCO_val2014_000000498374,adversarial,yes
535,Is there a bottle in the image?,no,COCO_val2014_000000498374,adversarial,yes
536,Is there a person in the image?,yes,COCO_val2014_000000498374,adversarial,yes
537,Is there a car in the image?,no,COCO_val2014_000000498374,adversarial,no
538,Is there a toilet in the image?,yes,COCO_val2014_000000498374,adversarial,yes
539,Is there a vase in the image?,no,COCO_val2014_000000498374,adversarial,yes
540,Is there a truck in the image?,yes,COCO_val2014_000000013348,adversarial,no
541,Is there a car in the image?,no,COCO_val2014_000000013348,adversarial,no
542,Is there a person in the image?,yes,COCO_val2014_000000013348,adversarial,no
543,Is there a dining table in the image?,no,COCO_val2014_000000013348,adversarial,no
544,Is there an airplane in the imange?,yes,COCO_val2014_000000013348,adversarial,yes
545,Is there a backpack in the image?,no,COCO_val2014_000000013348,adversarial,no
546,Is there a traffic light in the image?,yes,COCO_val2014_000000081336,adversarial,yes
547,Is there a bus in the image?,no,COCO_val2014_000000081336,adversarial,yes
548,Is there a truck in the image?,yes,COCO_val2014_000000081336,adversarial,yes
549,Is there a motorcycle in the image?,no,COCO_val2014_000000081336,adversarial,yes
550,Is there a person in the image?,yes,COCO_val2014_000000081336,adversarial,no
551,Is there a dining table in the image?,no,COCO_val2014_000000081336,adversarial,no
552,Is there a dog in the image?,yes,COCO_val2014_000000190185,adversarial,no
553,Is there a person in the image?,no,COCO_val2014_000000190185,adversarial,no
554,Is there a bowl in the image?,yes,COCO_val2014_000000190185,adversarial,no
555,Is there a cup in the image?,no,COCO_val2014_000000190185,adversarial,yes
556,Is there a sandwich in the image?,yes,COCO_val2014_000000190185,adversarial,yes
557,Is there a dining table in the image?,no,COCO_val2014_000000190185,adversarial,yes
558,Is there a spoon in the image?,yes,COCO_val2014_000000209755,adversarial,yes
559,Is there a cup in the image?,no,COCO_val2014_000000209755,adversarial,yes
560,Is there a bowl in the image?,yes,COCO_val2014_000000209755,adversarial,yes
561,Is there a dining table in the image?,no,COCO_val2014_000000209755,adversarial,no
562,Is there a person in the image?,yes,COCO_val2014_000000209755,adversarial,yes
563,Is there a car in the image?,no,COCO_val2014_000000209755,adversarial,no
564,Is there a dog in the image?,yes,COCO_val2014_000000227227,adversarial,yes
565,Is there a truck in the image?,no,COCO_val2014_000000227227,adversarial,yes
566,Is there a person in the image?,yes,COCO_val2014_000000227227,adversarial,yes
567,Is there a dining table in the image?,no,COCO_val2014_000000227227,adversarial,no
568,Is there a car in the image?,yes,COCO_val2014_000000227227,adversarial,yes
569,Is there a bus in the image?,no,COCO_val2014_000000227227,adversarial,no
570,Is there a person in the image?,yes,COCO_val2014_000000397705,adversarial,yes
571,Is there a car in the image?,no,COCO_val2014_000000397705,adversarial,no
572,Is there a bed in the image?,yes,COCO_val2014_000000397705,adversarial,yes
573,Is there a dining table in the image?,no,COCO_val2014_000000397705,adversarial,no
574,Is there a cat in the image?,yes,COCO_val2014_000000397705,adversarial,yes
575,Is there a couch in the image?,no,COCO_val2014_000000397705,adversarial,no
576,Is there a person in the image?,yes,COCO_val2014_000000287305,adversarial,no
577,Is there a dining table in the image?,no,COCO_val2014_000000287305,adversarial,no
578,Is there a car in the image?,yes,COCO_val2014_000000287305,adversarial,no
579,Is there a truck in the image?,no,COCO_val2014_000000287305,adversarial,no
580,Is there a bus in the image?,yes,COCO_val2014_000000287305,adversarial,yes
581,Is there a traffic light in the image?,no,COCO_val2014_000000287305,adversarial,yes
582,Is there a sink in the image?,yes,COCO_val2014_000000257327,adversarial,yes
583,Is there a person in the image?,no,COCO_val2014_000000257327,adversarial,no
584,Is there a toilet in the image?,yes,COCO_val2014_000000257327,adversarial,yes
585,Is there a vase in the image?,no,COCO_val2014_000000257327,adversarial,yes
586,Is there a bottle in the image?,yes,COCO_val2014_000000257327,adversarial,yes
587,Is there a dining table in the image?,no,COCO_val2014_000000257327,adversarial,no
588,Is there a person in the image?,yes,COCO_val2014_000000557016,adversarial,yes
589,Is there a dining table in the image?,no,COCO_val2014_000000557016,adversarial,no
590,Is there a bicycle in the image?,yes,COCO_val2014_000000557016,adversarial,yes
591,Is there a bus in the image?,no,COCO_val2014_000000557016,adversarial,no
592,Is there a car in the image?,yes,COCO_val2014_000000557016,adversarial,yes
593,Is there a truck in the image?,no,COCO_val2014_000000557016,adversarial,yes
594,Is there a backpack in the image?,yes,COCO_val2014_000000105732,adversarial,yes
595,Is there a handbag in the image?,no,COCO_val2014_000000105732,adversarial,yes
596,Is there a person in the image?,yes,COCO_val2014_000000105732,adversarial,yes
597,Is there a car in the image?,no,COCO_val2014_000000105732,adversarial,no
598,Is there a skis in the image?,yes,COCO_val2014_000000105732,adversarial,yes
599,Is there a snowboard in the image?,no,COCO_val2014_000000105732,adversarial,yes
600,Is there a tv in the image?,yes,COCO_val2014_000000534121,adversarial,no
601,Is there a person in the image?,no,COCO_val2014_000000534121,adversarial,no
602,Is there a couch in the image?,yes,COCO_val2014_000000534121,adversarial,yes
603,Is there a dining table in the image?,no,COCO_val2014_000000534121,adversarial,no
604,Is there a boat in the image?,yes,COCO_val2014_000000534121,adversarial,no
605,Is there a car in the image?,no,COCO_val2014_000000534121,adversarial,no
606,Is there a motorcycle in the image?,yes,COCO_val2014_000000520524,adversarial,yes
607,Is there a person in the image?,no,COCO_val2014_000000520524,adversarial,no
608,Is there a bicycle in the image?,yes,COCO_val2014_000000520524,adversarial,yes
609,Is there a bus in the image?,no,COCO_val2014_000000520524,adversarial,no
610,Is there a car in the image?,yes,COCO_val2014_000000520524,adversarial,no
611,Is there a truck in the image?,no,COCO_val2014_000000520524,adversarial,no
612,Is there a person in the image?,yes,COCO_val2014_000000580294,adversarial,yes
613,Is there a car in the image?,no,COCO_val2014_000000580294,adversarial,no
614,Is there a bowl in the image?,yes,COCO_val2014_000000580294,adversarial,yes
615,Is there a dining table in the image?,no,COCO_val2014_000000580294,adversarial,no
616,Is there a spoon in the image?,yes,COCO_val2014_000000580294,adversarial,yes
617,Is there a bottle in the image?,no,COCO_val2014_000000580294,adversarial,yes
618,Is there a couch in the image?,yes,COCO_val2014_000000374061,adversarial,yes
619,Is there a person in the image?,no,COCO_val2014_000000374061,adversarial,no
620,Is there a bed in the image?,yes,COCO_val2014_000000374061,adversarial,yes
621,Is there a book in the image?,no,COCO_val2014_000000374061,adversarial,no
622,Is there a cat in the image?,yes,COCO_val2014_000000374061,adversarial,yes
623,Is there a chair in the image?,no,COCO_val2014_000000374061,adversarial,yes
624,Is there a snowboard in the image?,yes,COCO_val2014_000000094944,adversarial,yes
625,Is there a surfboard in the image?,no,COCO_val2014_000000094944,adversarial,yes
626,Is there a backpack in the image?,yes,COCO_val2014_000000094944,adversarial,yes
627,Is there a handbag in the image?,no,COCO_val2014_000000094944,adversarial,yes
628,Is there a person in the image?,yes,COCO_val2014_000000094944,adversarial,yes
629,Is there a car in the image?,no,COCO_val2014_000000094944,adversarial,no
630,Is there a bowl in the image?,yes,COCO_val2014_000000572075,adversarial,yes
631,Is there a cup in the image?,no,COCO_val2014_000000572075,adversarial,yes
632,Is there a toilet in the image?,yes,COCO_val2014_000000572075,adversarial,yes
633,Is there a sink in the image?,no,COCO_val2014_000000572075,adversarial,yes
634,Is there a cat in the image?,yes,COCO_val2014_000000572075,adversarial,yes
635,Is there a couch in the image?,no,COCO_val2014_000000572075,adversarial,no
636,Is there a spoon in the image?,yes,COCO_val2014_000000387098,adversarial,no
637,Is there a bowl in the image?,no,COCO_val2014_000000387098,adversarial,no
638,Is there a laptop in the image?,yes,COCO_val2014_000000387098,adversarial,yes
639,Is there a person in the image?,no,COCO_val2014_000000387098,adversarial,no
640,Is there a remote in the image?,yes,COCO_val2014_000000387098,adversarial,yes
641,Is there a couch in the image?,no,COCO_val2014_000000387098,adversarial,no
642,Is there a person in the image?,yes,COCO_val2014_000000382670,adversarial,yes
643,Is there a car in the image?,no,COCO_val2014_000000382670,adversarial,no
644,Is there a bicycle in the image?,yes,COCO_val2014_000000382670,adversarial,yes
645,Is there a motorcycle in the image?,no,COCO_val2014_000000382670,adversarial,yes
646,Is there a potted plant in the image?,yes,COCO_val2014_000000382670,adversarial,yes
647,Is there a dining table in the image?,no,COCO_val2014_000000382670,adversarial,no
648,Is there a person in the image?,yes,COCO_val2014_000000414516,adversarial,no
649,Is there a car in the image?,no,COCO_val2014_000000414516,adversarial,no
650,Is there a dining table in the image?,yes,COCO_val2014_000000414516,adversarial,no
651,Is there a cup in the image?,no,COCO_val2014_000000414516,adversarial,no
652,Is there a chair in the image?,yes,COCO_val2014_000000414516,adversarial,no
653,Is there a couch in the image?,no,COCO_val2014_000000414516,adversarial,no
654,Is there a traffic light in the image?,yes,COCO_val2014_000000204360,adversarial,no
655,Is there a truck in the image?,no,COCO_val2014_000000204360,adversarial,no
656,Is there a person in the image?,yes,COCO_val2014_000000204360,adversarial,yes
657,Is there a dining table in the image?,no,COCO_val2014_000000204360,adversarial,no
658,Is there a backpack in the image?,yes,COCO_val2014_000000204360,adversarial,yes
659,Is there a handbag in the image?,no,COCO_val2014_000000204360,adversarial,no
660,Is there a person in the image?,yes,COCO_val2014_000000245642,adversarial,yes
661,Is there a car in the image?,no,COCO_val2014_000000245642,adversarial,no
662,Is there a bicycle in the image?,yes,COCO_val2014_000000245642,adversarial,yes
663,Is there a motorcycle in the image?,no,COCO_val2014_000000245642,adversarial,yes
664,Is there a sheep in the image?,yes,COCO_val2014_000000245642,adversarial,yes
665,Is there a truck in the image?,no,COCO_val2014_000000245642,adversarial,no
666,Is there a person in the image?,yes,COCO_val2014_000000237767,adversarial,no
667,Is there a car in the image?,no,COCO_val2014_000000237767,adversarial,yes
668,Is there a remote in the image?,yes,COCO_val2014_000000237767,adversarial,yes
669,Is there a chair in the image?,no,COCO_val2014_000000237767,adversarial,yes
670,Is there a dining table in the image?,yes,COCO_val2014_000000237767,adversarial,yes
671,Is there a cup in the image?,no,COCO_val2014_000000237767,adversarial,yes
672,Is there a tie in the image?,yes,COCO_val2014_000000370900,adversarial,yes
673,Is there a person in the image?,no,COCO_val2014_000000370900,adversarial,no
674,Is there a bear in the image?,yes,COCO_val2014_000000370900,adversarial,yes
675,Is there a couch in the image?,no,COCO_val2014_000000370900,adversarial,no
676,Is there a teddy bear in the image?,yes,COCO_val2014_000000370900,adversarial,yes
677,Is there a bed in the image?,no,COCO_val2014_000000370900,adversarial,no
678,Is there a cake in the image?,yes,COCO_val2014_000000094501,adversarial,yes
679,Is there a person in the image?,no,COCO_val2014_000000094501,adversarial,no
680,Is there a bottle in the image?,yes,COCO_val2014_000000094501,adversarial,yes
681,Is there a cup in the image?,no,COCO_val2014_000000094501,adversarial,yes
682,Is there a fork in the image?,yes,COCO_val2014_000000094501,adversarial,yes
683,Is there a knife in the image?,no,COCO_val2014_000000094501,adversarial,yes
684,Is there a backpack in the image?,yes,COCO_val2014_000000069196,adversarial,no
685,Is there a skis in the image?,no,COCO_val2014_000000069196,adversarial,no
686,Is there a person in the image?,yes,COCO_val2014_000000069196,adversarial,no
687,Is there a car in the image?,no,COCO_val2014_000000069196,adversarial,no
688,Is there an airplane in the image?,yes,COCO_val2014_000000069196,adversarial,yes
689,Is there a truck in the image?,no,COCO_val2014_000000069196,adversarial,yes
690,Is there a tv in the image?,yes,COCO_val2014_000000366141,adversarial,yes
691,Is there a person in the image?,no,COCO_val2014_000000366141,adversarial,no
692,Is there a couch in the image?,yes,COCO_val2014_000000366141,adversarial,yes
693,Is there a book in the image?,no,COCO_val2014_000000366141,adversarial,no
694,Is there a dining table in the image?,yes,COCO_val2014_000000366141,adversarial,no
695,Is there a cup in the image?,no,COCO_val2014_000000366141,adversarial,no
696,Is there a person in the image?,yes,COCO_val2014_000000093946,adversarial,yes
697,Is there a car in the image?,no,COCO_val2014_000000093946,adversarial,no
698,Is there a bowl in the image?,yes,COCO_val2014_000000093946,adversarial,yes
699,Is there a cup in the image?,no,COCO_val2014_000000093946,adversarial,yes
700,Is there a fork in the image?,yes,COCO_val2014_000000093946,adversarial,yes
701,Is there a knife in the image?,no,COCO_val2014_000000093946,adversarial,yes
702,Is there a backpack in the image?,yes,COCO_val2014_000000032610,adversarial,yes
703,Is there a person in the image?,no,COCO_val2014_000000032610,adversarial,no
704,Is there a bench in the image?,yes,COCO_val2014_000000032610,adversarial,yes
705,Is there a chair in the image?,no,COCO_val2014_000000032610,adversarial,no
706,Is there a laptop in the image?,yes,COCO_val2014_000000032610,adversarial,yes
707,Is there a tv in the image?,no,COCO_val2014_000000032610,adversarial,no
708,Is there a person in the image?,yes,COCO_val2014_000000239130,adversarial,yes
709,Is there a dining table in the image?,no,COCO_val2014_000000239130,adversarial,no
710,Is there a bicycle in the image?,yes,COCO_val2014_000000239130,adversarial,yes
711,Is there a motorcycle in the image?,no,COCO_val2014_000000239130,adversarial,yes
712,Is there a car in the image?,yes,COCO_val2014_000000239130,adversarial,yes
713,Is there a truck in the image?,no,COCO_val2014_000000239130,adversarial,no
714,Is there a spoon in the image?,yes,COCO_val2014_000000226097,adversarial,yes
715,Is there a person in the image?,no,COCO_val2014_000000226097,adversarial,no
716,Is there a bowl in the image?,yes,COCO_val2014_000000226097,adversarial,yes
717,Is there a dining table in the image?,no,COCO_val2014_000000226097,adversarial,no
718,Is there a bottle in the image?,yes,COCO_val2014_000000226097,adversarial,yes
719,Is there a chair in the image?,no,COCO_val2014_000000226097,adversarial,yes
720,Is there a banana in the image?,yes,COCO_val2014_000000538054,adversarial,yes
721,Is there a bowl in the image?,no,COCO_val2014_000000538054,adversarial,no
722,Is there a person in the image?,yes,COCO_val2014_000000538054,adversarial,yes
723,Is there a car in the image?,no,COCO_val2014_000000538054,adversarial,no
724,Is there a handbag in the image?,yes,COCO_val2014_000000538054,adversarial,no
725,Is there a backpack in the image?,no,COCO_val2014_000000538054,adversarial,no
726,Is there a backpack in the image?,yes,COCO_val2014_000000114710,adversarial,yes
727,Is there a handbag in the image?,no,COCO_val2014_000000114710,adversarial,yes
728,Is there a person in the image?,yes,COCO_val2014_000000114710,adversarial,yes
729,Is there a car in the image?,no,COCO_val2014_000000114710,adversarial,no
730,Is there a sheep in the image?,yes,COCO_val2014_000000114710,adversarial,yes
731,Is there a truck in the image?,no,COCO_val2014_000000114710,adversarial,yes
732,Is there a chair in the image?,yes,COCO_val2014_000000113701,adversarial,yes
733,Is there a person in the image?,no,COCO_val2014_000000113701,adversarial,no
734,Is there a clock in the image?,yes,COCO_val2014_000000113701,adversarial,yes
735,Is there a dining table in the image?,no,COCO_val2014_000000113701,adversarial,no
736,Is there a bed in the image?,yes,COCO_val2014_000000113701,adversarial,yes
737,Is there a cat in the image?,no,COCO_val2014_000000113701,adversarial,yes
738,Is there a person in the image?,yes,COCO_val2014_000000065001,adversarial,no
739,Is there a dining table in the image?,no,COCO_val2014_000000065001,adversarial,no
740,Is there a motorcycle in the image?,yes,COCO_val2014_000000065001,adversarial,yes
741,Is there a truck in the image?,no,COCO_val2014_000000065001,adversarial,no
742,Is there a car in the image?,yes,COCO_val2014_000000065001,adversarial,no
743,Is there a bus in the image?,no,COCO_val2014_000000065001,adversarial,no
744,Is there a person in the image?,yes,COCO_val2014_000000482275,adversarial,yes
745,Is there a car in the image?,no,COCO_val2014_000000482275,adversarial,no
746,Is there a knife in the image?,yes,COCO_val2014_000000482275,adversarial,yes
747,Is there a dining table in the image?,no,COCO_val2014_000000482275,adversarial,yes
748,Is there a vase in the image?,yes,COCO_val2014_000000482275,adversarial,yes
749,Is there a potted plant in the image?,no,COCO_val2014_000000482275,adversarial,yes
750,Is there a toothbrush in the image?,yes,COCO_val2014_000000140983,adversarial,yes
751,Is there a sink in the image?,no,COCO_val2014_000000140983,adversarial,yes
752,Is there a couch in the image?,yes,COCO_val2014_000000140983,adversarial,yes
753,Is there a chair in the image?,no,COCO_val2014_000000140983,adversarial,yes
754,Is there a person in the image?,yes,COCO_val2014_000000140983,adversarial,no
755,Is there a car in the image?,no,COCO_val2014_000000140983,adversarial,no
756,Is there a traffic light in the image?,yes,COCO_val2014_000000044520,adversarial,yes
757,Is there a person in the image?,no,COCO_val2014_000000044520,adversarial,no
758,Is there a train in the image?,yes,COCO_val2014_000000044520,adversarial,no
759,Is there a car in the image?,no,COCO_val2014_000000044520,adversarial,no
760,Is there a stop sign in the image?,yes,COCO_val2014_000000044520,adversarial,yes
761,Is there a truck in the image?,no,COCO_val2014_000000044520,adversarial,no
762,Is there a toaster in the image?,yes,COCO_val2014_000000518177,adversarial,yes
763,Is there a tv in the image?,no,COCO_val2014_000000518177,adversarial,yes
764,Is there a person in the image?,yes,COCO_val2014_000000518177,adversarial,no
765,Is there a car in the image?,no,COCO_val2014_000000518177,adversarial,no
766,Is there a microwave in the image?,yes,COCO_val2014_000000518177,adversarial,yes
767,Is there a bottle in the image?,no,COCO_val2014_000000518177,adversarial,yes
768,Is there a person in the image?,yes,COCO_val2014_000000203479,adversarial,yes
